iter	Passed	Remaining
0	1	142
1	2	139
2	4	152
3	5	136
4	6	131
5	8	129
6	9	127
7	12	141
8	14	143
9	17	153
10	18	149
11	19	146
12	21	141
13	22	141
14	24	138
15	25	135
16	35	172
17	37	169
18	38	163
19	39	159
20	41	155
21	47	167
22	48	162
23	50	160
24	51	155
25	52	149
26	53	144
27	54	140
28	55	135
29	56	131
30	57	127
31	59	126
32	60	123
33	61	119
34	63	118
35	64	115
36	66	112
37	67	109
38	68	107
39	73	110
40	75	108
41	75	104
42	77	102
43	78	100
44	80	98
45	82	96
46	87	99
47	89	97
48	91	94
49	92	92
50	94	90
51	95	87
52	96	85
53	97	82
54	97	80
55	102	80
56	103	78
57	105	76
58	106	74
59	107	71
60	109	69
61	110	67
62	111	65
63	112	63
64	113	61
65	115	59
66	118	58
67	120	56
68	121	54
69	122	52
70	123	50
71	128	49
72	129	47
73	130	45
74	131	43
75	132	41
76	133	39
77	134	37
78	135	35
79	135	33
80	136	32
81	137	30
82	138	28
83	139	26
84	142	25
85	144	23
86	145	21
87	145	19
88	146	18
89	147	16
90	148	14
91	149	12
92	150	11
93	151	9
94	151	7
95	152	6
96	153	4
97	154	3
98	159	1
99	160	0
