iter	Passed	Remaining
0	153	153653
1	156	77875
2	158	52622
3	159	39807
4	161	32068
5	162	26879
6	163	23124
7	163	20308
8	164	18117
9	166	16445
10	166	15005
11	167	13799
12	168	12766
13	168	11877
14	169	11109
15	169	10436
16	170	9841
17	170	9311
18	171	8837
19	171	8410
20	172	8023
21	172	7672
22	173	7352
23	173	7059
24	174	6788
25	174	6538
26	175	6306
27	175	6091
28	175	5891
29	176	5704
30	176	5529
31	177	5366
32	178	5219
33	178	5075
34	179	4938
35	180	4822
36	180	4708
37	181	4594
38	181	4483
39	182	4378
40	182	4278
41	183	4183
42	183	4092
43	184	4005
44	184	3923
45	185	3843
46	185	3767
47	186	3694
48	186	3624
49	187	3558
50	187	3494
51	188	3432
52	188	3372
53	189	3314
54	189	3258
55	190	3205
56	190	3154
57	191	3110
58	192	3066
59	193	3025
60	194	2992
61	195	2961
62	196	2923
63	197	2885
64	198	2848
65	198	2812
66	199	2778
67	200	2742
68	200	2707
69	201	2674
70	202	2646
71	203	2617
72	203	2588
73	204	2560
74	205	2535
75	206	2507
76	207	2481
77	207	2457
78	209	2443
79	210	2426
80	211	2402
81	212	2379
82	212	2352
83	213	2329
84	214	2307
85	214	2284
86	215	2262
87	216	2241
88	217	2222
89	217	2201
90	218	2180
91	219	2164
92	220	2150
93	221	2133
94	222	2114
95	223	2100
96	224	2088
97	225	2072
98	225	2055
99	226	2037
100	227	2020
101	227	2004
102	228	1987
103	228	1971
104	229	1956
105	230	1941
106	230	1925
107	231	1910
108	231	1894
109	233	1887
110	233	1873
111	234	1859
112	235	1846
113	235	1834
114	236	1822
115	237	1810
116	238	1798
117	239	1792
118	240	1780
119	241	1768
120	241	1757
121	242	1745
122	243	1735
123	243	1723
124	244	1711
125	245	1700
126	245	1688
127	246	1678
128	247	1668
129	247	1657
130	248	1646
131	248	1636
132	249	1625
133	249	1615
134	250	1605
135	251	1595
136	251	1585
137	252	1576
138	252	1566
139	254	1560
140	254	1553
141	255	1543
142	256	1534
143	256	1525
144	257	1516
145	257	1506
146	258	1497
147	258	1488
148	259	1479
149	259	1470
150	259	1461
151	260	1454
152	261	1445
153	261	1436
154	262	1428
155	262	1420
156	263	1412
157	263	1404
158	263	1396
159	264	1388
160	264	1379
161	265	1372
162	265	1364
163	266	1356
164	266	1349
165	267	1342
166	267	1335
167	268	1328
168	269	1322
169	269	1317
170	270	1310
171	270	1303
172	271	1297
173	271	1290
174	272	1283
175	272	1277
176	273	1270
177	273	1264
178	274	1258
179	274	1252
180	275	1245
181	275	1239
182	276	1233
183	276	1227
184	277	1221
185	277	1215
186	278	1209
187	278	1203
188	279	1197
189	279	1191
190	280	1186
191	280	1180
192	281	1175
193	281	1170
194	282	1164
195	282	1159
196	283	1156
197	284	1152
198	285	1147
199	285	1142
200	286	1137
201	286	1132
202	287	1128
203	288	1124
204	288	1119
205	289	1114
206	289	1109
207	290	1105
208	290	1100
209	291	1096
210	292	1091
211	292	1087
212	293	1083
213	293	1078
214	294	1074
215	294	1069
216	295	1065
217	295	1061
218	296	1057
219	296	1052
220	297	1048
221	298	1044
222	299	1043
223	300	1040
224	301	1037
225	301	1032
226	302	1028
227	302	1024
228	303	1020
229	303	1016
230	304	1012
231	304	1008
232	305	1004
233	305	1000
234	305	996
235	306	992
236	306	988
237	307	984
238	307	980
239	308	976
240	308	972
241	309	969
242	309	965
243	310	961
244	310	957
245	311	954
246	311	950
247	312	946
248	312	943
249	313	940
250	314	938
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	317	918
257	318	915
258	318	911
259	319	908
260	319	905
261	320	901
